Business Name,Category,Description,Street,City,Phone Number,Email,Website,Image 1,Image 2,Image 3,Image 4,Image 5
Complete Car Care Company,Valeting service,For PPF put on my bonnet today and was very pleased start to finish. Very friendly and professional at a fair price. Would recommend,"1 Flush Park, Lisburn BT28 2DX",Northern Ireland,+44 28 9262 2402,,http://www.completecarcarecompany.co.uk/,https://lh3.googleusercontent.com/p/AF1QipPXdw11yRVPfL0EOGiYSxo3KdpBvivlj8UNHlJO=w1600,https://lh3.googleusercontent.com/p/AF1QipMDoZ8K3SKZSVaQgfQNil_G47-1B4XYDnTSXdji=w1600,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqUJzJmLlkCcusAD2iq3xGcza_CV3BdrM6_0mIIfvCEWghoiRUZez-br8JjKeWEVwYSzJ-SgBHfNuDbe_BymUTZLBGq8Jmw0_EfbYjQGxHptsYr4rbS29GL1P9wsgaOeIX7mmKDmAnxv_Th=w1600,https://lh3.googleusercontent.com/p/AF1QipOx9l_JKZb_0mowm3LlFU0tzsAkDlOCBW-QrxUV=w1600,
Car Valet Belfast,Valeting service,"Car Valet Belfast offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.","24 Barbour Gardens, Dunmurry, Belfast BT17 9AB",Northern Ireland,+44 7856 560430,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nroP5HvMDO8mzPNvq-Z4lCOvMatB95AoW_eH2H3e7Ju1DXxHdNfv9wpCV-smr3Q1Jk2PYay1Ji1ovnGSul5JpfCZRxPcEJEjTCaX11ukZGIHw0qOIuyg6CTA-qv_WLjnWLSKamoRw=w1600,,,,
V-spec Auto Detailing,Valeting service,"V-spec Auto Detailing offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.","Unit 4, 109A Moneyreagh Rd, Moneyreagh, Newtownards BT23 6BH",Northern Ireland,+44 28 9600 5652,,https://www.vspec.uk/,https://lh3.googleusercontent.com/p/AF1QipOAHWYM3eBdb91y_ywVXcMBvA7lzwrrbIjNye5h=w1600,,,,
MCA Details - Automotive Detailing and Valeting,Valeting service,Left my missus golf gtd in with this guy and i have to say what an amazing job he done.. I will certainly be back with my car in near future. Highly recommend very happy missus 👍 …,"Chestnut Hall Ct, Maghaberry, Craigavon BT67 0GJ",Northern Ireland,,,,https://lh3.googleusercontent.com/p/AF1QipOvh18VyT8ICzyjlKX3CXA4dAJqFLBnpV7vM92H=w1600,,,,
North coast valeting,Valeting service,Had a full interior detail and the results were better than expected almost like new,Coleraine BT52 2EU,Northern Ireland,+44 7394 973917,,http://northcoastvaleting.co.uk/,https://lh3.googleusercontent.com/p/AF1QipPQ1YtM0liiPvMgVWnh2Pcjbodw39QX3kG4njSk=w1600,,,,
APEX NI Valeting & detailing,Valeting service,WOW !!!! What a great guy. James made my 11 year old car look like new again. He is such a professional and a lovely person to do business with. He took the utmost care …,"Broadlands Gardens, Carrickfergus BT38 7BJ",Northern Ireland,+44 7969 576455,,,https://lh3.googleusercontent.com/p/AF1QipO8aS4IoJoX9EWqLlSn6LYhCBzJv_Wg6zRn7dbQ=w1600,,,,
Em car valeting,Valeting service,"Em car valeting offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.","Hollyvale, Mossley, Newtownabbey BT36 5NG",Northern Ireland,+44 7494 483951,,,https://lh3.googleusercontent.com/p/AF1QipPdbYoQGOFT6LXYDdICyh31wqp7oGmzMufH7p48=w1600,,,,
Polished and Waxed Detailing,Valeting service,"Polished and Waxed Detailing offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.","Unit 28D Balloo Dr, Bangor BT19 7QY",Northern Ireland,+44 7989 277721,,http://polishedandwaxed.co.uk/,https://lh3.googleusercontent.com/p/AF1QipMHzWmK8_HfZApIxJMBRyIihCRSeAxoSRuxw1Xp=w1600,,,,
Beulah Wash & Valet - Detailing Centre | Ceramic Coating | Paint Correction | Newry,Valeting service,"Got my new Volvo polished and ceramic coated, I didn’t think a new car would need it but Sean explained everything that the car would benefit from and its pros and cons of each option. …","54 Rathfriland Rd, Newry BT34 1LD",Northern Ireland,+44 7544 934444,,https://www.instagram.com/beulahwashvalet/,https://lh3.googleusercontent.com/p/AF1QipPljLLRcneRqJl6Bgtfxlba9hWBfOrc3mtgdkjL=w1600,,,,
Valet Solutions,Valeting service,"Big Shoutout to Colin at Valet Solutions. Did an amazing job on my car. His attention to Detail, pardon the pun, is second to none. Fast Efficient Friendly Service. Highly Recommended ⭐️⭐️⭐️⭐️⭐️","96 Primity Cres, Newbuildings, Londonderry BT47 2RB",Northern Ireland,+44 7960 222723,,http://www.valetsolutionsni.co.uk/,https://lh3.googleusercontent.com/p/AF1QipOfvlaKg96mDCtmtATv1Zzi_0d6pmbWZLlJH7Z0=w1600,,,,
Sandown Autocare,Valeting service,"Professional, friendly and well priced. Highly recommended.","8A Sandown Rd, Belfast BT5 6GY",Northern Ireland,+44 28 9047 3840,,http://www.sandownautocare.co.uk/,,,,,
"G.S. Car Valeting and Detailing Services - Vehicle Detailing, Ceramic Coating, Trade Work, Scratch Alloy Lisburn",Valeting service,First class service from Gareth and his team. I have had both my BMW's ceramic coated by Gareth. Very highly recommended.,"4C Saintfield Rd, Lisburn BT27 5BD",Northern Ireland,+44 7575 658008,,http://www.gsvaletinganddetailing.co.uk/,https://lh3.googleusercontent.com/p/AF1QipMDoZ8K3SKZSVaQgfQNil_G47-1B4XYDnTSXdji=w1600,,,,
Auto Detailing NI,Valeting service,"Auto Detailing NI offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services. First class service, highly recommended.","32 Moyra Dr, Belfast, Saintfield, Ballynahinch BT24 7AF",Northern Ireland,+44 7710 079905,,http://autodetailingni.com/,https://lh3.googleusercontent.com/p/AF1QipOXwaE4CBAVVcuI4W3Lf-ol2_jhckL4XkO81tQ6=w1600,,,,
All in the Detail-NI,Valeting service,"It’s not often I overly spoil myself but when I bought my car earlier this year from Giraffe Cars, I knew I wanted to look after it as much as possible and make life as easy as possible! …","8a Mount Davys Rd, Cullybackey, Ballymena BT42 1HE",Northern Ireland,+44 7709 137498,,http://allinthedetailni.co.uk/,https://lh3.googleusercontent.com/p/AF1QipPQP59Ddv1BHnM5-sTX3RNMgiK4vGdkiJiC0Qgf=w1600,,,,
Shine Clean Valeting,Valeting service,"Shine Clean Valeting offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.",,,+44 7309 171474,,http://shinecleanvaleting.com/,https://lh3.googleusercontent.com/p/AF1QipPJsuCcWV1ov4a6HARBbqcvYG4Eb132f8ZjPyaM=w1600,,,,
MS Detailing,Valeting service,"Just got my car back from Michael, excellent job truly delighted with the outcome. Michael's knowledge and attention to detail can be seen in his work. Would highly recommend this service","3 Montalto Cl, BT248AU County Down, Ballynahinch BT24 8AU",Northern Ireland,+44 7715 042553,,https://www.msdetailing.org/,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUosVUk3pjtUN2grGpVw5jw-xFba3LSsXyuKraJt4RuFdEIdM7dAvgdkfXOxeD9qqr8e529Ht_9Xlh4WLRYkyy1esctPNDVorDEqkLpLiFzVDM4rRwGHHX9DQTwwfr1or054KY=w1600,,,,
MHC AutoCare - mobile & unit based detailing,Valeting service,MHC AutoCare was a real find and is a fantastic business to have in the local area. …,"30 Beechcroft, Dollingstown, Craigavon BT66 7GL",Northern Ireland,+44 7731 821801,,,https://lh3.googleusercontent.com/p/AF1QipOokj-L4K5ZwRaXq9qap_aAnPr7oHBcM8IHJLYN=w1600,,,,
Nuba Wax - Car Wax Products Northern Ireland,Valeting service,"Great products have been using for years now, so easy to use and a little goes a long way , just tryed the new Emperor class and its unbelievable 😀👍 …","6 Clifton Mnr, Bangor BT20 5DZ",Northern Ireland,+44 7773 817115,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npJaFpNsI3qsP-_glUO7B0uAdUa--OamRNm6Oj6_B538thVgB79JsaLmohKTGmNqjc85tOpXj79bBI5fCBNjMe3_7C-GTeT8m9RmrDnXB7RHJI3iva98hSe-FygWKeYkdn80f2G=w1600,,,,
So Fresh valeting and detailing ltd,Valeting service,Brilliant Service was very happy with the Job Lee & Jordy Done. Definitely be using Fresh Valeting again,"24B Andersonstown Park S, Belfast BT11 8FR",Northern Ireland,+44 7895 375683,,,https://lh3.googleusercontent.com/p/AF1QipNh2HwSsJ1ILRAhuYkclfQjnJ5KGRsCF8HleR6c=w1600,,,,
Total Perfection Car Detailing,Valeting service,Had our campervan ceramic coated by Mark. We were delighted with the finish! He collected the van from our house & returned it when finished. A first class service that I would recommend to friends.,"67 Middlepark Rd, Cushendall, Ballymena BT44 0SH",Northern Ireland,+44 7731 470827,,https://www.totalperfection.co.uk/,https://lh3.googleusercontent.com/p/AF1QipMUFxJE4adIEl5DPhyPOgRE3zuYy5tePa-CYjc8=w1600,,,,
Autokleen NI Ltd,Valeting service,Absolutely top class workmanship . Virtually handed back a new car . Wouldn’t even consider going anywhere else . I prefer a specialist rather a generalist 🌟🌟🌟🌟 …,"22a Malcolm Rd, Lurgan, Craigavon BT66 8DF",Northern Ireland,+44 7565 750534,,,https://lh3.googleusercontent.com/p/AF1QipPGHHBqwbfAvXjfDFHIP38WnACM1zH05G5WOk5x=w1600,,,,
McGurren Valeting & Detailing,Valeting service,"McGurren Valeting & Detailing offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services. Great service, fantastic value for money","Omagh Rd, Drumquin, Omagh BT78 4QY",Northern Ireland,+44 7835 043090,,,https://lh3.googleusercontent.com/p/AF1QipPRBWXJa9t6ONGp9iWfS-WnpAldAoF8gZBfFOEA=w1600,,,,
Pro Detail Belfast,Valeting service,Steven knows his stuff . All you have to do is call to his garage and see top of the range cars he's working on . BMW . Mercedes etc etc . He has cars done to perfection .,"Building 9, Unit 2 Central Park, Mallusk, Newtownabbey BT36 4FS",Northern Ireland,+44 7713 833633,,http://www.prodetailbelfast.com/,https://lh3.googleusercontent.com/p/AF1QipMP2e6WGiH_MP0dgXrrpGcNGpNsiaGygwFAX1ss=w1600,,,,
Allies Valeting / Detailing,Valeting service,"Allies Valeting / Detailing offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services. My car is like a brand new one! Fantastic job.","26 Cookstown Rd, Magherafelt BT45 7QF",Northern Ireland,+44 7811 625568,,,https://lh3.googleusercontent.com/p/AF1QipODEfkqE44nLfH3jaY8paetXGtlt4Jg1CaB7xnT=w1600,,,,
Enniskillen valeting service,Valeting service,Brilliant service. My jeep is like new again after a valet with Jay😍 highly recommend. …,"7A Killyvilly Rd, Enniskillen BT944RL",Northern Ireland,+44 7821 056508,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCPzxBND6oYvlXN795weJj8SPBPXDVykGztGIgVHwo2FkPWsWEUYC7Uu0Lns1yEQPQp6WCrEf0-tcfHvxpLk8MMKQioWuUjVgSH_5rjDddZ3ltBcVya10pwIAPtqmI9icSe8rv=w1600,https://lh3.googleusercontent.com/p/AF1QipMtyeO2zpoVSafS9T-B2PHPa8sHAjSAFPCpyAPR=w1600,https://lh3.googleusercontent.com/p/AF1QipO06oyKOf1xHVDVyUH-iNUPZN8zJoGQF-yoagv0=w1600,,
Pristine autocare NI,Valeting service,"Pristine autocare NI offers professional car valeting and cleaning services in Northern Ireland. We provide thorough interior and exterior car cleaning, ensuring your vehicle looks its best with our quality valeting services.","Rossnareen Park, Belfast BT11 8NN",Northern Ireland,+44 7765 758609,,https://www.facebook.com/profile.php?id=61560076992831&name=xhp_nt__fb__action__open_user,,,,,
Autokleen,Valeting service,Included an MOT wash. Car then failed MOT a few hours later as brake pipes were not adequately cleaned.,"Castlereagh Business Park, Castlereagh Rd, Belfast BT5 6BQ",Northern Ireland,+44 28 9079 3399,,http://www.autokleen.com/,https://lh3.googleusercontent.com/p/AF1QipMup8dGggJsBsID3-GQuRH-WYJpTo2zHT-3OthM=w1600,,,,
GL Reflections,Valeting service,"The fellas did an outstanding job on my car, almost couldn’t believe it was my car when I seen it. They went above and beyond today to make sure it was perfect 👌. …","Unit 1, Curran business park, Portland Rd, Larne BT40 1DH",Northern Ireland,+44 7783 327666,,https://gl-reflections.ueniweb.com/?utm_campaign=gmb,https://lh3.googleusercontent.com/p/AF1QipPNQyEPkwfCiNUN2jchexLfZrYnl7YohrX5IGGF=w1600,,,,
WashMe Enniskillen,Valeting service,"Excellent service from start to finish! Having 2 kids, the car is generally a mess. The job Shane did in the interior was top class. …","7 Rossorry Terrace, Enniskillen BT74 7AR",Northern Ireland,+44 7399 875739,,http://www.washmeenniskillen.com/,https://lh3.googleusercontent.com/p/AF1QipMtyeO2zpoVSafS9T-B2PHPa8sHAjSAFPCpyAPR=w1600,,,,
Expert Shine - Mobile Vehicle Cleaning & Valeting,Valeting service,"Have used Expert Shine many a times over the last few years, the mobile service is such a convince! Eddies work is always top notch and being a car enthusiast himself your pride …",,,+44 7825 812304,,,https://lh3.googleusercontent.com/p/AF1QipOoU3efADTG_1XtvG3UcTGxBy97PGP5E9TTHGA2=w1600,,,,
MB Motors,used car dealer,"MB Motors is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  In-store shopping ","4 Woodside Park, Woodside Rd, Ballymena BT42 4HG",Northern Ireland,+44 28 2544 1144,,http://www.mbmotorsni.co.uk/,https://lh3.googleusercontent.com/p/AF1QipO_-2Eq6gaIigNKsMM-h8ZqP-uOqNlB3yCATxja=w1600,,,,
CarBrothersNI,used car dealer,"CarBrothersNI is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  Delivery ","550 Antrim Rd, Newtownabbey BT36 4RF",Northern Ireland,+44 28 9433 6459,,http://www.carbrothersni.co.uk/,https://lh3.googleusercontent.com/p/AF1QipPPkWMToskl4JhRmRzztj-Vf79ztqqlIToX6W1T=w1600,,,,
Colin Francis Cars,used car dealer,"Friendly and helpful salesman, nothing was any bother. Thanks Stephen. Look forward to collecting our car later in the week from you.","48 Shore Rd, Ballyronan, Magherafelt BT45 6JQ",Northern Ireland,+44 28 7941 8817,,http://www.colinfranciscars.com/,https://lh3.googleusercontent.com/p/AF1QipMDZ9mdFX7Zww2V6oLnfCMso5GLkAdxmug5ggjr=w1600,,,,
Cm Cars Ni LTD,used car dealer,"Cm Cars Ni LTD is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  Delivery ","Unit 5, Logans Complex, Cloughmills, Ballymena BT44 9PU",Northern Ireland,+44 28 2763 8544,,http://www.cmcarsni.co.uk/,,,,,
Budget Cars NI,used car dealer,"Budget Cars NI is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.","30 Saintfield Rd, Crossgar, Downpatrick BT30 9HY",Northern Ireland,+44 28 4483 3223,,https://www.budgetcarsni.com/,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqpCGuVq0jXsCN-81jzCqGKYTEThgnUcnl9JlcBk0iQpYnvvUtdBUSd0Poji0Ya2cBLtPxFThy7hFoxJj038jI1R2RXJ-XLMRRLrL2w4UwdZikFCPMV4SveZucWztkjayoSKeM=w1600,,,,
Shelbourne Motors Autoselect Used Car Supermarket,used car dealer,"Shelbourne Motors Autoselect Used Car Supermarket is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  Delivery ","334 Tandragee Rd, Portadown, Craigavon BT62 3RB",Northern Ireland,+44 28 3839 6800,,https://www.shelbournemotors.com/autoselect,https://lh3.googleusercontent.com/p/AF1QipPfdu0aEWwX0X5eZjodZ7HghIC8GDnlBcyxcEdz=w1600,,,,
Car Sales NI,used car dealer,"Car Sales NI is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  In-store shopping ·  Delivery ","46 Beltany Rd, Omagh BT78 5NF",Northern Ireland,+44 28 8225 8400,,http://www.carsalesni.com/,,,,,
Cobra Cars NI,used car dealer,"Cobra Cars NI is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.","Annesborough Industrial Estate, Lurgan, Craigavon BT67 9JD",Northern Ireland,+44 7716 258746,,https://www.cobracarsni.co.uk/,https://lh3.googleusercontent.com/p/AF1QipNmIyjPWqKHkbRKrACs0490MSaUrug9qMx5zY1p=w1600,,,,
Charles Hurst Usedirect Portadown,used car dealer,"DOUBLE STARS Hi, my mum bought a car from Charles Hurst from Damian (March 2023) He was …","1 Carn Ct Rd, Portadown, Craigavon BT63 5YX",Northern Ireland,+44 28 3836 1111,,https://www.charleshurstgroup.co.uk/usedirect/contact-us/usedirect-portadown?utm_source=GMB&utm_medium=organic&utm_campaign=website_btn,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrRKGowD14aF_lWAIVww5xr5z7E5kJjb8fDciCSyN-4oxwzrXCtLx1ZJwtfg_tYxqqHl4jyLcS2uUzpgv59GUWP7frNhEgJlBbXEQ3ysJhX-r4A5t90w5lbPT7bA-kuP4sxKPRI=w1600,,,,
Cameron Cars NI LTD,used car dealer,"Cameron Cars NI LTD is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  Delivery ","22B Lislagan Rd, Ballymoney BT53 7DD",Northern Ireland,+44 28 2723 8200,,http://www.cameroncarsni.co.uk/,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noXqG3hv_AkVPO2LutjUI-usquWVnkNEFPYYa5Audjzw-2vUc6zb1DBFYKkWxOYqwX4BbVO-CggKjVizPawiKIGnXErK0khT2-2rtodIa1F6bJSeya5Dt3pJuAkxYXsrepPp4fl=w1600,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noXqG3hv_AkVPO2LutjUI-usquWVnkNEFPYYa5Audjzw-2vUc6zb1DBFYKkWxOYqwX4BbVO-CggKjVizPawiKIGnXErK0khT2-2rtodIa1F6bJSeya5Dt3pJuAkxYXsrepPp4fl=w1600,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNt_DcPIqZ1vId81uoEhVpoaZh2yqkpwM-jRS_2mcaSy9w2yvtnMgvxJP39TcOmxcIpDZqH1UPBmLsC4imMrEPEJHfM050JEFeVDVLkhcQH1Lx_qNjb8K0oR7_tt0V4JYYTm78cg=w1600,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj1Hi3NBN4H86qB1RC1dKpqupPfQTiyhnsMEV3bT0eASJeCFpc2vWGLT7ytU8c6_1N99DuRIE7O1qrYR232-Xqe6silfH9aB78s46FuulFvg88QdZuQRN5lmozBH44QcD1SXb0=w1600,https://lh3.googleusercontent.com/p/AF1QipOAoZOf-zDihKCbWGCRU8MK7BrWverKdgtjBUOm=w1600
SERE Motors Belfast,used car dealer, In-store shopping ·  In-store pick-up  Delivery ,"7-13 Boucher Rd, Belfast BT12 6HR",Northern Ireland,+44 28 9020 5100,,http://www.seremotors.com/?utm_source=google+my+business&utm_medium=organic&utm_campaign=GMB+Website+Button,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzm9Y9r73I9olsL8J_kWlteoTSFhp9m-9Ujep6ptRuQXZ20BhPfxi_2ktsLW6juo3F3_7YI-8LHaAFjPUWXSmeXdcuoknmaNmyLPN6F_-tcnDuxtD5pEN5eWh3Q2Byfcvuz3nQ=w1600,,,,
Used Cars NI,used car dealer,Really easy to contact dealers and arrange viewings! Very pleased with how simple the process was from beginning to end.,"14 Lower Cres, Belfast BT7 1NR",Northern Ireland,+44 28 9032 4065,,http://www.usedcarsni.com/,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqjydsH4fcFnZUUpELnExPv0wyt4g3TM7j7HAV3wQcsth2cXfvfBrp_Aza03OCCzuGlu6pHIIlu2H_R9lHZCfika8cDnNXLr4NIUx0Hl-qrrdNM4iJE0wB0hAmYa-PfkMmVXATgbw=w1600,,,,
NI Car Sales Ltd,used car dealer,"NI Car Sales Ltd is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  Delivery ","Belfast Rd, Dollingstown, Lurgan, Craigavon BT66 7JR",Northern Ireland,+44 28 3898 9386,,http://www.ni-car-sales.com/,https://lh3.googleusercontent.com/p/AF1QipNW0ZiCtZS7J6V7NE9eiCGz10GYmIUpgVXtBPSO=w1600,,,,
Auto Q,used car dealer,"Auto Q is a trusted used car dealer in Northern Ireland, offering a wide selection of quality pre-owned vehicles. We provide reliable cars with competitive pricing and excellent customer service to help you find the perfect vehicle.  In-store shopping ","25 Imperial Dr, Belfast BT6 8JH",Northern Ireland,+44 28 9073 2193,,http://www.autoq.co.uk/,,,,,
Eastwood Motors Ltd,used car dealer, In-store shopping ·  In-store pick-up  Delivery ,"Brickfield House, 197 Moira Rd, Lisburn BT28 2SN",Northern Ireland,+44 28 9262 1293,,http://www.eastwoodmotors.com/,https://lh3.googleusercontent.com/p/AF1QipMPmz54AdH3og8yshPkCFffRhcuKwXBWhghcZ9Q=w1600,,,,
First Time Buyers Budget Direct Belfast,used car dealer,"Saw a Fiat 500x last Saturday and have it today (6 days) Chris has been really great getting me sorted in a short time, and got the car for a good price, 100% recommend","62 Boucher Rd, Belfast BT12 6LR",Northern Ireland,+44 28 9038 3597,,https://www.charleshurstgroup.co.uk/first-time-buyers/contact-us/first-time-buyers-centre-belfast?utm_source=GMB&utm_medium=organic&utm_campaign=website_btn,https://lh3.googleusercontent.com/p/AF1QipOwG4lpBE09Cb6CuoRuNCzVdWd4MvsnDD4x63c6=w1600,,,,
